Accession,Species,Genus,Family,Length,Country
MN402889,Chikungunya virus,Alphavirus,Togaviridae,11793,China
MN402891,Chikungunya virus,Alphavirus,Togaviridae,11793,China
MG813980,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15079,USA
MN749163,Enterovirus B,Enterovirus,Picornaviridae,7406,USA
MN749162,Enterovirus B,Enterovirus,Picornaviridae,7409,USA
MN646695,Orthohepevirus A,Orthohepevirus,Hepeviridae,7341,France
MN749147,Rhinovirus A,Enterovirus,Picornaviridae,7144,USA
KX528231,Pegivirus H,Pegivirus,Flaviviridae,9502,China
MH150888,Human metapneumovirus,Metapneumovirus,Pneumoviridae,13335,Norway
MH037280,Crimean-Congo hemorrhagic fever orthonairovirus,Orthonairovirus,Nairoviridae,1673,Oman
KX034813,Human polyomavirus 4,Betapolyomavirus,Polyomaviridae,5229,China
KX034805,Human polyomavirus 4,Betapolyomavirus,Polyomaviridae,5228,China
KY881915,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881991,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881911,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881903,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881896,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881853,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881886,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881854,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881811,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881857,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881850,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881796,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881793,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881792,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881750,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881741,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KX632292,Rotavirus A,Rotavirus,Reoviridae,1061,Uganda
KY881989,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881987,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881981,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY881969,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
MF674469,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Viet Nam
JF808129,Dengue virus,Flavivirus,Flaviviridae,10707,Paraguay
MF629795,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,982,India
MF775367,Rhinovirus C,Enterovirus,Picornaviridae,7146,USA
KY933680,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
MF797870,West Nile virus,Flavivirus,Flaviviridae,10982,Cyprus
KX765851,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KY995542,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9180,France
KY933703,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,6368,China
MH218730,Norwalk virus,Norovirus,Caliciviridae,7737,United Kingdom
MH218702,Norwalk virus,Norovirus,Caliciviridae,7517,United Kingdom
MH218713,Norwalk virus,Norovirus,Caliciviridae,7517,United Kingdom
MH218706,Norwalk virus,Norovirus,Caliciviridae,7568,United Kingdom
MH218708,Norwalk virus,Norovirus,Caliciviridae,7568,United Kingdom
MH218664,Norwalk virus,Norovirus,Caliciviridae,7745,United Kingdom
MH218736,Norwalk virus,Norovirus,Caliciviridae,7537,United Kingdom
MH218627,Norwalk virus,Norovirus,Caliciviridae,7559,United Kingdom
MH218655,Norwalk virus,Norovirus,Caliciviridae,7537,United Kingdom
MH218603,Norwalk virus,Norovirus,Caliciviridae,7548,United Kingdom
MH218597,Norwalk virus,Norovirus,Caliciviridae,7548,United Kingdom
MH218711,Norwalk virus,Norovirus,Caliciviridae,7551,United Kingdom
MH218604,Norwalk virus,Norovirus,Caliciviridae,7548,United Kingdom
MG298926,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171443,United Kingdom
MF084224,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,235079,Greece
MH172379,Human papillomavirus type 222,,Papillomaviridae,7275,South Africa
MG298923,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,169864,United Kingdom
MG298924,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171734,United Kingdom
MG953833,Primate bocaparvovirus 1,Bocaparvovirus,Parvoviridae,5157,Brazil
MF566020,Human immunodeficiency virus 1,Lentivirus,Retroviridae,2592,Rwanda
MF565990,Human immunodeficiency virus 1,Lentivirus,Retroviridae,2586,Rwanda
MF683840,Hepacivirus C,Hepacivirus,Flaviviridae,5967,USA
KF726986,Human associated cyclovirus 10,Cyclovirus,Circoviridae,1790,Chile
KX789476,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1419,India
MF973160,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,14966,USA
MF973157,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,14942,USA
KY618678,Human mastadenovirus D,Mastadenovirus,Adenoviridae,35104,Germany
MF565943,Human immunodeficiency virus 1,Lentivirus,Retroviridae,2583,Rwanda
MG746037,Norwalk virus,Norovirus,Caliciviridae,7536,China
MG746022,Norwalk virus,Norovirus,Caliciviridae,7536,China
MG746023,Norwalk virus,Norovirus,Caliciviridae,7536,China
MG745988,Norwalk virus,Norovirus,Caliciviridae,7536,China
KU714445,Rotavirus A,Rotavirus,Reoviridae,2717,Malawi
MN018306,Dengue virus,Flavivirus,Flaviviridae,10735,China
MF597762,Mammalian 2 orthobornavirus,Orthobornavirus,Bornaviridae,8786,Germany
MF580848,Rotavirus A,Rotavirus,Reoviridae,1356,China
MN018305,Dengue virus,Flavivirus,Flaviviridae,10735,China
KY778694,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8925,USA
MF580872,Rotavirus A,Rotavirus,Reoviridae,2729,China
MG977452,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30704,Cote d'Ivoire
MG428702,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,27781,Kenya
MG520499,Human papillomavirus,,Papillomaviridae,7320,France
MG948587,Zaire ebolavirus,Ebolavirus,Filoviridae,18917,Sierra Leone
MG030486,Human mastadenovirus E,Mastadenovirus,Adenoviridae,35937,USA
MK007336,Zaire ebolavirus,Ebolavirus,Filoviridae,18901,Democratic Republic of the Congo
KY007251,Primate T-lymphotropic virus 1,Deltaretrovirus,Retroviridae,8998,Brazil
MH985859,Dengue virus,Flavivirus,Flaviviridae,10722,Australia
MH171464,Rotavirus A,Rotavirus,Reoviridae,752,Spain
MK585588,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,15273,USA
MF588729,Gammapapillomavirus 18,Gammapapillomavirus,Papillomaviridae,7339,Italy
MK641589,Norwalk virus,Norovirus,Caliciviridae,7529,USA
MF588714,Gammapapillomavirus 11,Gammapapillomavirus,Papillomaviridae,7268,USA
MH716304,Enterovirus A,Enterovirus,Picornaviridae,7380,Viet Nam
MH716298,Enterovirus A,Enterovirus,Picornaviridae,7389,Viet Nam
MH716297,Enterovirus A,Enterovirus,Picornaviridae,7363,Viet Nam
MH716269,Enterovirus A,Enterovirus,Picornaviridae,7381,Viet Nam
MH716255,Enterovirus A,Enterovirus,Picornaviridae,7390,Viet Nam
MH716367,Enterovirus A,Enterovirus,Picornaviridae,7370,Viet Nam
MH716353,Enterovirus A,Enterovirus,Picornaviridae,7380,Viet Nam
MH716332,Enterovirus A,Enterovirus,Picornaviridae,7388,Viet Nam
MF588678,Betapapillomavirus 1,Betapapillomavirus,Papillomaviridae,7483,USA
MH716319,Enterovirus A,Enterovirus,Picornaviridae,7380,Viet Nam
MH539787,Enterovirus A,Enterovirus,Picornaviridae,7377,India
MF444079,Orthohepevirus A,Orthohepevirus,Hepeviridae,7215,France
MF434851,Yellow fever virus,Flavivirus,Flaviviridae,11007,Brazil
MF444123,Orthohepevirus A,Orthohepevirus,Hepeviridae,7324,France
MF538784,Yellow fever virus,Flavivirus,Flaviviridae,11007,Brazil
MF444087,Orthohepevirus A,Orthohepevirus,Hepeviridae,7296,France
MF444116,Orthohepevirus A,Orthohepevirus,Hepeviridae,7175,France
MF444115,Orthohepevirus A,Orthohepevirus,Hepeviridae,7176,France
MF444069,Orthohepevirus A,Orthohepevirus,Hepeviridae,7285,France
MF444113,Orthohepevirus A,Orthohepevirus,Hepeviridae,7193,France
MF444104,Orthohepevirus A,Orthohepevirus,Hepeviridae,7168,France
MF444141,Orthohepevirus A,Orthohepevirus,Hepeviridae,7170,France
MF444090,Orthohepevirus A,Orthohepevirus,Hepeviridae,7312,France
MF444095,Orthohepevirus A,Orthohepevirus,Hepeviridae,7285,France
MF444053,Orthohepevirus A,Orthohepevirus,Hepeviridae,7142,France
MF444056,Orthohepevirus A,Orthohepevirus,Hepeviridae,7178,France
MF444073,Orthohepevirus A,Orthohepevirus,Hepeviridae,7294,France
MF444088,Orthohepevirus A,Orthohepevirus,Hepeviridae,7333,France
MF444085,Orthohepevirus A,Orthohepevirus,Hepeviridae,7275,France
MF444040,Orthohepevirus A,Orthohepevirus,Hepeviridae,7243,France
KY672934,Dengue virus,Flavivirus,Flaviviridae,10738,China
MF444042,Orthohepevirus A,Orthohepevirus,Hepeviridae,7219,France
KY672948,Dengue virus,Flavivirus,Flaviviridae,10723,China
MF444037,Orthohepevirus A,Orthohepevirus,Hepeviridae,7220,France
MH171452,Rotavirus A,Rotavirus,Reoviridae,750,Spain
MH171428,Rotavirus A,Rotavirus,Reoviridae,1059,Spain
MH171467,Rotavirus A,Rotavirus,Reoviridae,664,Spain
MH171354,Rotavirus A,Rotavirus,Reoviridae,2359,Spain
KJ004555,Enterovirus A,Enterovirus,Picornaviridae,7405,China
KJ004558,Enterovirus A,Enterovirus,Picornaviridae,7405,China
MK167040,Human metapneumovirus,Metapneumovirus,Pneumoviridae,13293,USA
MF588753,Gammapapillomavirus sp.,Gammapapillomavirus,Papillomaviridae,7350,USA
MF588705,Gammapapillomavirus 8,Gammapapillomavirus,Papillomaviridae,7298,Italy
MF588758,Gammapapillomavirus sp.,Gammapapillomavirus,Papillomaviridae,7328,USA
MF588701,Gammapapillomavirus 7,Gammapapillomavirus,Papillomaviridae,7314,USA
MF588689,Gammapapillomavirus sp.,Gammapapillomavirus,Papillomaviridae,7191,USA
MF588740,Gammapapillomavirus 22,Gammapapillomavirus,Papillomaviridae,7226,USA
MK520815,Rhinovirus C,Enterovirus,Picornaviridae,7039,USA
MH447959,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15220,Thailand
MK510082,Enterovirus A,Enterovirus,Picornaviridae,7340,USA
HQ317236,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,1722,
MF588752,Gammapapillomavirus 25,Gammapapillomavirus,Papillomaviridae,7291,USA
MH171416,Rotavirus A,Rotavirus,Reoviridae,1566,Spain
MH017574,Torque teno virus 1,Alphatorquevirus,Anelloviridae,3856,Ghana
MH017572,Torque teno virus 1,Alphatorquevirus,Anelloviridae,3856,Ghana
MH017567,Torque teno mini virus 10,Betatorquevirus,Anelloviridae,2836,Ghana
MH697607,Human mastadenovirus B,Mastadenovirus,Adenoviridae,35226,USA
MH017549,Torque teno mini virus 10,Betatorquevirus,Anelloviridae,2895,Ghana
MH504160,Orthohepevirus A,Orthohepevirus,Hepeviridae,7185,United Kingdom
MK462255,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30052,Saudi Arabia
MK462244,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30118,Saudi Arabia
MH504148,Orthohepevirus A,Orthohepevirus,Hepeviridae,7222,United Kingdom
MK462243,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30115,Saudi Arabia
MH504126,Orthohepevirus A,Orthohepevirus,Hepeviridae,7236,United Kingdom
MH017546,Torque teno mini virus 10,Betatorquevirus,Anelloviridae,2892,Ghana
MK483839,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30118,Saudi Arabia
MK120201,Chikungunya virus,Alphavirus,Togaviridae,11406,Italy
MH892407,Human rubulavirus 4,Rubulavirus,Paramyxoviridae,17079,Netherlands
MH892404,Human respirovirus 1,Respirovirus,Paramyxoviridae,15422,Netherlands
MH536772,Enterovirus A,Enterovirus,Picornaviridae,7454,China
AP019112,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,144923,Japan
LC456611,Alphapapillomavirus 9,Alphapapillomavirus,Papillomaviridae,7905,Japan
MH504140,Orthohepevirus A,Orthohepevirus,Hepeviridae,7241,United Kingdom
MH504155,Orthohepevirus A,Orthohepevirus,Hepeviridae,7189,United Kingdom
MH504153,Orthohepevirus A,Orthohepevirus,Hepeviridae,7232,United Kingdom
MH017548,Torque teno mini virus 10,Betatorquevirus,Anelloviridae,2895,Ghana
KY680539,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,15368,Canada
KY242583,Betapapillomavirus 2,Betapapillomavirus,Papillomaviridae,7399,Argentina
KY037797,Human alphaherpesvirus 3,Varicellovirus,Herpesviridae,124840,USA
KY680537,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,15368,Canada
GQ175883,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8884,Malaysia
KC774219,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
HM535205,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Zimbabwe
AY118165,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8967,South Africa
KX384959,Human mastadenovirus C,Mastadenovirus,Adenoviridae,35868,USA
KX384962,Enterovirus C,Enterovirus,Picornaviridae,7346,USA
KY470844,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY470997,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3071,China
KY470944,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3196,China
KY470995,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY470841,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY470894,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY470934,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY470927,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3133,China
KY470926,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY470924,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3195,China
KY470883,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY470830,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY470881,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY470978,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY470910,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY470972,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY369878,Rhinovirus C,Enterovirus,Picornaviridae,7052,USA
KY470964,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3214,China
KY470959,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3213,China
KY470857,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY369904,Enterovirus B,Enterovirus,Picornaviridae,7368,USA
KY369893,Rhinovirus A,Enterovirus,Picornaviridae,7074,USA
KY369896,Rhinovirus A,Enterovirus,Picornaviridae,7025,USA
KY369898,Rhinovirus A,Enterovirus,Picornaviridae,7000,USA
KY369892,Rhinovirus A,Enterovirus,Picornaviridae,7043,USA
KY369888,Rhinovirus A,Enterovirus,Picornaviridae,7122,USA
KY680391,Chikungunya virus,Alphavirus,Togaviridae,11617,USA
KY703895,Chikungunya virus,Alphavirus,Togaviridae,12136,Nicaragua
KY680380,Chikungunya virus,Alphavirus,Togaviridae,11307,USA
JX661476,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
JQ409127,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1523,Finland
HM011543,Human polyomavirus 5,Alphapolyomavirus,Polyomaviridae,5385,USA
KY382411,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Argentina
KY427084,Dengue virus,Flavivirus,Flaviviridae,10723,India
MF001513,Chikungunya virus,Alphavirus,Togaviridae,11983,USA
KY921906,Dengue virus,Flavivirus,Flaviviridae,10675,Singapore
MF618343,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,India
GU332702,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3185,China
KX514423,Alphapapillomavirus 10,Alphapapillomavirus,Papillomaviridae,7990,Brazil
KP745661,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,235605,Belgium
KP745704,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,235633,Belgium
KP745760,Enterovirus D,Enterovirus,Picornaviridae,7332,USA
KP745671,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,235498,Belgium
KR733223,Influenza B virus,Betainfluenzavirus,Orthomyxoviridae,1557,Taiwan
KU168277,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9711,Democratic Republic of the Congo
KU316096,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15109,USA
KP745652,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,235810,Belgium
KP745692,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,236051,Belgium
HM006724,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1410,China
EU916226,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3032,China
AF286231,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8995,India
KJ170629,Enterovirus C,Enterovirus,Picornaviridae,7379,Nigeria
KJ170518,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ942597,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2226,USA
KJ943506,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2311,Chile
KY385886,Enterovirus D,Enterovirus,Picornaviridae,7300,USA
EU255990,Hepacivirus C,Hepacivirus,Flaviviridae,9310,USA
KC692501,Dengue virus,Flavivirus,Flaviviridae,10735,Argentina
KP017266,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,India
GQ161753,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Ghana
KC774348,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KF819631,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,318,Sweden
GQ161762,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3212,Guinea
FJ185251,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8854,Viet Nam
KY385889,Enterovirus D,Enterovirus,Picornaviridae,7333,USA
MF984347,West Nile virus,Flavivirus,Flaviviridae,10991,Austria
KX268355,Yellow fever virus,Flavivirus,Flaviviridae,10825,China
MN018366,Dengue virus,Flavivirus,Flaviviridae,10724,China
KX765933,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15167,New Zealand
KX580041,Enterovirus A,Enterovirus,Picornaviridae,7410,China
KJ452355,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1410,China
KX768159,Enterovirus A,Enterovirus,Picornaviridae,7366,China
KX768163,Enterovirus A,Enterovirus,Picornaviridae,7395,China
JN642158,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Lebanon
KX162691,Enterovirus C,Enterovirus,Picornaviridae,7424,Equatorial Guinea
KX162687,Enterovirus C,Enterovirus,Picornaviridae,7368,Chad
KX162685,Enterovirus C,Enterovirus,Picornaviridae,7402,Chad
KY006856,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,15319,Canada
KY674944,Human rubulavirus 2,Rubulavirus,Paramyxoviridae,15608,USA
KX424525,Human alphaherpesvirus 1,Simplexvirus,Herpesviridae,152090,China
KY385892,Enterovirus D,Enterovirus,Picornaviridae,7326,USA
KU562908,Rotavirus B,Rotavirus,Reoviridae,2341,Bangladesh
KU562886,Rotavirus B,Rotavirus,Reoviridae,2341,Bangladesh
KY249676,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15277,United Kingdom
KY123652,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,235233,Germany
EF514701,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8827,Denmark
EF514708,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8812,Denmark
EF514711,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8719,Denmark
KY680538,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,15368,Canada
JN642129,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Lebanon
KX853532,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,318,Brazil
KX853533,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,318,Brazil
KX162698,Enterovirus C,Enterovirus,Picornaviridae,7418,Nigeria
KX162697,Enterovirus C,Enterovirus,Picornaviridae,7422,Nigeria
KX655633,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15172,Jordan
KY674958,Human rubulavirus 2,Rubulavirus,Paramyxoviridae,15498,USA
KY674940,Human respirovirus 1,Respirovirus,Paramyxoviridae,15497,USA
KP792537,Dengue virus,Flavivirus,Flaviviridae,10651,Singapore
KY674914,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27055,USA
KR779786,Dengue virus,Flavivirus,Flaviviridae,10723,Singapore
KY680385,Chikungunya virus,Alphavirus,Togaviridae,11307,USA
KY680376,Chikungunya virus,Alphavirus,Togaviridae,11307,USA
KY680374,Chikungunya virus,Alphavirus,Togaviridae,11952,USA
KM392080,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3086,Taiwan
KY680367,Chikungunya virus,Alphavirus,Togaviridae,12136,USA
